,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
30,2019-06-10,16.643272522978094,-40.11640117849421,42.735562509689544,16.643272522978094,16.643272522978094,-14.531628954506438,-14.531628954506438,-14.531628954506438,1.1645793334505379,1.1645793334505379,1.1645793334505379,-15.696208287956976,-15.696208287956976,-15.696208287956976,0.0,0.0,0.0,2.1116435684716564
31,2019-06-11,16.644301255966866,-36.48871706644625,41.952405073268146,16.644301255966866,16.644301255966866,-14.831213146629343,-14.831213146629343,-14.831213146629343,0.24732477213919432,0.24732477213919432,0.24732477213919432,-15.078537918768536,-15.078537918768536,-15.078537918768536,0.0,0.0,0.0,1.8130881093375226
32,2019-06-12,16.645329988955634,-41.556723151983356,42.40648886696682,16.645329988955634,16.645329988955634,-13.918363841581318,-13.918363841581318,-13.918363841581318,0.6081325536266036,0.6081325536266036,0.6081325536266036,-14.526496395207921,-14.526496395207921,-14.526496395207921,0.0,0.0,0.0,2.7269661473743163
33,2019-06-13,16.646358721944406,-37.081065922755904,44.41573366945604,16.646358721944406,16.646358721944406,-14.263610112721194,-14.263610112721194,-14.263610112721194,-0.22541790534870718,-0.22541790534870718,-0.22541790534870718,-14.03819220737249,-14.03819220737249,-14.03819220737249,0.0,0.0,0.0,2.3827486092232117
34,2019-06-14,16.647387454933178,-39.042012680996514,42.509215250717155,16.647387454933178,16.647387454933178,-14.34940912309929,-14.34940912309929,-14.34940912309929,-0.7396400812813748,-0.7396400812813748,-0.7396400812813748,-13.609769041817916,-13.609769041817916,-13.609769041817916,0.0,0.0,0.0,2.297978331833887
35,2019-06-17,16.65047365389949,-35.038363501837686,44.866481785297815,16.65047365389949,16.65047365389949,-11.455439246874649,-11.455439246874649,-11.455439246874649,1.16457933345077,1.16457933345077,1.16457933345077,-12.620018580325418,-12.620018580325418,-12.620018580325418,0.0,0.0,0.0,5.19503440702484
36,2019-06-18,16.65150238688826,-36.01853544259933,45.887529655630225,16.65150238688826,16.65150238688826,-12.113441498889872,-12.113441498889872,-12.113441498889872,0.2473247721392827,0.2473247721392827,0.2473247721392827,-12.360766271029155,-12.360766271029155,-12.360766271029155,0.0,0.0,0.0,4.538060887998389
37,2019-06-19,16.652531119877032,-36.97763744307505,44.20777448767691,16.652531119877032,16.652531119877032,-11.512552584400078,-11.512552584400078,-11.512552584400078,0.6081325536283825,0.6081325536283825,0.6081325536283825,-12.120685138028461,-12.120685138028461,-12.120685138028461,0.0,0.0,0.0,5.1399785354769545
38,2019-06-20,16.653559852865804,-34.98309095535207,44.22244902463551,16.653559852865804,16.653559852865804,-12.114837291564342,-12.114837291564342,-12.114837291564342,-0.22541790535167194,-0.22541790535167194,-0.22541790535167194,-11.88941938621267,-11.88941938621267,-11.88941938621267,0.0,0.0,0.0,4.538722561301462
39,2019-06-21,16.654588585854572,-35.38908441632125,43.474234473414704,16.654588585854572,16.654588585854572,-12.39628211466634,-12.39628211466634,-12.39628211466634,-0.7396400812814997,-0.7396400812814997,-0.7396400812814997,-11.656642033384841,-11.656642033384841,-11.656642033384841,0.0,0.0,0.0,4.258306471188233
40,2019-06-24,16.657674784820887,-34.52328317377941,46.896880377827316,16.657674784820887,16.657674784820887,-9.688520776274514,-9.688520776274514,-9.688520776274514,1.1645793334511063,1.1645793334511063,1.1645793334511063,-10.85310010972562,-10.85310010972562,-10.85310010972562,0.0,0.0,0.0,6.969154008546374
41,2019-06-25,16.65870352354024,-33.5932530138041,50.057243697635045,16.65870352354024,16.65870352354024,-10.275198285475856,-10.275198285475856,-10.275198285475856,0.24732477213794823,0.24732477213794823,0.24732477213794823,-10.522523057613803,-10.522523057613803,-10.522523057613803,0.0,0.0,0.0,6.383505238064384
42,2019-06-26,16.659732262259592,-34.103464587010464,48.422752199545776,16.659732262259592,16.659732262259592,-9.54165876573954,-9.54165876573954,-9.54165876573954,0.6081325536256013,0.6081325536256013,0.6081325536256013,-10.14979131936514,-10.14979131936514,-10.14979131936514,0.0,0.0,0.0,7.1180734965200525
43,2019-06-27,16.660761000978944,-35.212515855265146,45.526611676339684,16.660761000978944,16.660761000978944,-9.95606246680437,-9.95606246680437,-9.95606246680437,-0.22541790534690212,-0.22541790534690212,-0.22541790534690212,-9.730644561457469,-9.730644561457469,-9.730644561457469,0.0,0.0,0.0,6.7046985341745735
44,2019-06-28,16.661789739698296,-36.83729913681999,45.91754330289693,16.661789739698296,16.661789739698296,-10.002107589445778,-10.002107589445778,-10.002107589445778,-0.7396400812816247,-0.7396400812816247,-0.7396400812816247,-9.262467508164153,-9.262467508164153,-9.262467508164153,0.0,0.0,0.0,6.659682150252518
